,05/03,07/03,08/03,09/03,10/03,11/03,12/03
Barking and Dagenham,0,0,0,0,1,1,3
Barnet,1 to 4,3,4,5,8,8,9
Barnsley,1 to 4,2,2,2,2,2,2
Bath and North East Somerset,0,0,0,0,0,0,0
Bedford,0,0,0,0,0,0,0
Bexley,0,0,0,0,0,0,0
Birmingham,1 to 4,1,1,1,1,2,2
Blackburn with Darwen,0,0,0,0,0,0,0
Blackpool,0,0,0,0,0,0,2
Bolton,1 to 4,1,2,3,3,3,3
"Bournemouth, Christchurch and Poole",0,0,2,2,3,3,3
Bracknell Forest,0,2,2,2,2,2,4
Bradford,1 to 4,1,1,1,1,1,3
Brent,0,1,3,3,3,3,3
Brighton and Hove,6,7,7,8,8,8,8
"Bristol, City of",0,1,2,2,2,3,3
Bromley,1 to 4,1,1,1,2,2,2
Buckinghamshire,0,1,1,1,2,2,4
Bury,1 to 4,4,3,3,3,3,3
Calderdale,0,0,0,0,0,0,2
Cambridgeshire,0,0,0,0,1,1,1
Camden,1 to 4,2,2,4,5,7,11
Central Bedfordshire,0,0,0,0,0,0,0
Cheshire East,0,0,0,0,0,0,0
Cheshire West and Chester,0,0,0,0,0,0,2
Cornwall and Isles of Scilly,1 to 4,2,3,4,4,5,5
County Durham,0,0,0,0,1,1,1
Coventry,0,1,3,2,3,3,3
Croydon,0,0,0,0,1,1,1
Cumbria,0,4,5,5,7,7,7
Darlington,0,0,0,0,0,0,0
Derby,0,0,0,0,0,1,1
Derbyshire,1 to 4,3,4,4,4,4,4
Devon,7,10,12,12,13,13,13
Doncaster,0,0,0,0,0,0,0
Dorset,0,0,0,0,0,0,0
Dudley,0,0,0,1,1,1,1
Ealing,1 to 4,5,5,5,5,5,5
East Riding of Yorkshire,0,0,0,0,0,0,0
East Sussex,0,0,0,0,0,0,0
Enfield,0,0,0,1,1,1,1
Essex,1 to 4,3,5,5,5,6,6
Gateshead,0,0,0,0,0,0,0
Gloucestershire,1 to 4,3,3,3,3,4,3
Greenwich,0,0,0,0,1,1,1
Hackney and City of London,0,2,2,2,3,4,4
Halton,0,0,0,0,0,0,0
Hammersmith and Fulham,0,1,2,2,2,3,3
Hampshire,1 to 4,2,8,8,10,13,15
Haringey,0,0,0,0,1,1,3
Harrow,1 to 4,1,1,1,1,1,1
Hartlepool,0,0,0,0,0,0,0
Havering,0,0,0,2,2,2,2
"Herefordshire, County of",0,0,0,0,1,1,1
Hertfordshire,5,8,13,13,16,18,18
Hillingdon,0,1,1,1,1,3,3
Hounslow,1 to 4,3,3,3,5,5,5
Isle of Wight,0,1,1,1,1,1,1
Islington,0,0,0,0,1,1,1
Kensington and Chelsea,1 to 4,6,8,8,13,15,19
Kent,1 to 4,2,4,4,5,5,9
"Kingston upon Hull, City of",1 to 4,1,1,1,1,1,1
Kingston upon Thames,1 to 4,1,1,1,1,1,1
Kirklees,0,0,0,0,0,1,1
Knowsley,0,0,0,0,0,0,0
Lambeth,0,2,3,3,4,5,7
Lancashire,1 to 4,2,4,4,4,5,5
Leeds,1 to 4,3,3,5,5,5,7
Leicester,0,0,0,0,0,0,2
Leicestershire,0,1,1,2,2,2,2
Lewisham,1 to 4,2,3,3,3,3,5
Lincolnshire,1 to 4,1,1,1,1,1,1
Liverpool,0,3,4,5,5,6,8
Luton,0,2,2,2,2,2,2
Manchester,1 to 4,5,5,5,5,5,7
Medway,0,2,2,2,2,2,2
Merton,1 to 4,1,1,1,2,2,2
Middlesbrough,0,0,0,0,0,0,0
Milton Keynes,0,1,1,1,2,2,2
Newcastle upon Tyne,1 to 4,3,3,4,4,6,6
Newham,0,0,0,0,0,0,0
Norfolk,0,0,0,0,0,0,0
North East Lincolnshire,0,0,0,0,0,0,0
North Lincolnshire,0,0,0,0,0,1,1
North Somerset,0,0,0,0,1,0,0
North Tyneside,0,1,1,1,1,2,2
North Yorkshire,0,0,0,0,0,0,4
Northamptonshire,1 to 4,2,4,4,5,5,5
Northumberland,0,0,0,0,0,0,0
Nottingham,1 to 4,2,2,2,2,3,3
Nottinghamshire,0,3,3,5,5,6,6
Oldham,1 to 4,2,2,4,4,4,4
Oxfordshire,1 to 4,4,5,5,7,9,17
Peterborough,1 to 4,1,1,1,1,1,1
Plymouth,0,0,0,0,0,0,0
Portsmouth,0,0,0,0,0,0,0
Reading,0,0,0,0,0,0,2
Redbridge,0,1,1,1,1,1,1
Redcar and Cleveland,0,0,0,0,0,0,0
Richmond upon Thames,0,0,0,0,1,1,1
Rochdale,0,0,0,0,0,1,1
Rotherham,0,0,0,0,1,1,1
Rutland,0,0,0,0,0,0,0
Salford,0,0,0,0,0,0,0
Sandwell,0,0,0,0,0,0,0
Sefton,0,0,0,0,0,1,1
Sheffield,0,0,0,0,0,1,3
Shropshire,0,0,0,0,1,2,2
Slough,0,0,0,0,1,1,1
Solihull,0,0,0,0,0,0,0
Somerset,1 to 4,1,2,2,2,2,1
South Gloucestershire,0,0,0,0,0,1,1
South Tyneside,0,0,0,0,0,0,0
Southampton,0,0,0,0,0,0,0
Southend-on-Sea,0,1,1,1,1,1,1
Southwark,1 to 4,1,3,5,8,9,11
St. Helens,0,0,0,0,0,0,0
Staffordshire,1 to 4,4,4,4,4,4,4
Stockport,0,0,0,0,0,0,0
Stockton-on-Tees,0,0,0,0,0,2,2
Stoke-on-Trent,0,0,0,0,0,0,0
Suffolk,0,0,0,1,1,1,1
Sunderland,0,0,0,1,1,1,1
Surrey,1 to 4,4,5,6,6,10,13
Sutton,0,0,0,1,2,4,5
Swindon,0,1,2,2,2,2,2
Tameside,0,0,1,1,1,1,1
Telford and Wrekin,0,0,0,0,0,0,0
Thurrock,0,0,0,0,0,0,0
Torbay,1 to 4,4,6,7,7,7,7
Tower Hamlets,0,0,1,1,4,4,6
Trafford,1 to 4,4,4,4,4,4,4
Wakefield,0,0,0,0,0,0,0
Walsall,0,0,0,0,0,0,0
Waltham Forest,0,0,0,1,1,1,1
Wandsworth,1 to 4,2,3,3,3,3,7
Warrington,0,0,0,0,0,1,1
Warwickshire,0,0,3,4,4,4,4
West Berkshire,0,0,0,0,0,0,0
West Sussex,1 to 4,3,3,3,3,3,3
Westminster,0,2,3,3,5,6,12
Wigan,1 to 4,3,3,3,3,3,3
Wiltshire,1 to 4,3,3,3,4,4,4
Windsor and Maidenhead,0,0,0,0,1,1,1
Wirral,1 to 4,1,1,1,1,2,4
Wokingham,1 to 4,2,3,3,3,3,3
Wolverhampton,0,0,0,2,3,4,4
Worcestershire,0,0,0,0,0,0,0
York,1 to 4,3,3,3,3,3,3
,8,,,,,,
