,07/03,08/03,09/03,10/03,11/03,12/03,13/03,14/03,15/03,16/03,17/03,18/03
Barking and Dagenham,0,0,0,1,1,3,4,5,7,10,9,14
Barnet,3,4,5,8,8,9,14,23,25,25,24,27
Barnsley,2,2,2,2,2,2,2,3,5,4,2,6
Bath and North East Somerset,0,0,0,0,0,0,0,1,2,1,3,3
Bedford,0,0,0,0,0,0,0,0,0,0,1,1
Bexley,0,0,0,0,0,0,1,5,7,8,14,17
Birmingham,1,1,1,1,2,2,2,5,8,15,20,25
Blackburn with Darwen,0,0,0,0,0,0,0,0,0,0,1,1
Blackpool,0,0,0,0,0,2,2,1,3,2,3,4
Bolton,1,2,3,3,3,3,3,3,3,3,5,7
"Bournemouth, Christchurch and Poole",0,2,2,3,3,3,3,4,5,5,6,7
Bracknell Forest,2,2,2,2,2,4,4,3,5,4,3,3
Bradford,1,1,1,1,1,3,4,4,6,7,7,8
Brent,1,3,3,3,3,3,4,14,20,20,24,45
Brighton and Hove,7,7,8,8,8,8,9,9,10,10,9,11
"Bristol, City of",1,2,2,2,3,3,5,4,5,7,8,12
Bromley,1,1,1,2,2,2,4,5,7,11,23,32
Buckinghamshire,1,1,1,2,2,4,7,13,15,12,23,27
Bury,4,3,3,3,3,3,3,3,3,6,7,7
Calderdale,0,0,0,0,0,2,2,3,5,2,3,3
Cambridgeshire,0,0,0,1,1,1,1,4,7,12,12,14
Camden,2,2,4,5,7,11,13,19,22,22,20,30
Central Bedfordshire,0,0,0,0,0,0,0,1,3,4,6,6
Cheshire East,0,0,0,0,0,0,0,1,1,0,7,8
Cheshire West and Chester,0,0,0,0,0,2,3,3,4,4,5,5
Cornwall and Isles of Scilly,2,3,4,4,5,5,5,4,5,8,10,10
County Durham,0,0,0,1,1,1,1,1,1,1,1,3
Coventry,1,3,2,3,3,3,3,3,2,3,3,4
Croydon,0,0,0,1,1,1,1,1,2,4,6,32
Cumbria,4,5,5,7,7,7,8,9,10,10,22,34
Darlington,0,0,0,0,0,0,0,2,2,2,1,2
Derby,0,0,0,0,1,1,1,3,5,4,0,11
Derbyshire,3,4,4,4,4,4,4,9,11,12,5,27
Devon,10,12,12,13,13,13,14,14,15,20,24,25
Doncaster,0,0,0,0,0,0,0,2,2,2,0,3
Dorset,0,0,0,0,0,0,1,1,1,2,2,5
Dudley,0,0,1,1,1,1,4,4,4,6,9,10
Ealing,5,5,5,5,5,5,8,18,20,18,21,42
East Riding of Yorkshire,0,0,0,0,0,0,1,2,3,4,9,10
East Sussex,0,0,0,0,0,0,0,1,1,2,7,8
Enfield,0,0,1,1,1,1,2,5,6,8,10,27
Essex,3,5,5,5,6,6,9,8,14,20,21,27
Gateshead,0,0,0,0,0,0,1,1,1,1,0,1
Gloucestershire,3,3,3,3,4,3,5,6,6,6,11,12
Greenwich,0,0,0,1,1,1,1,10,13,18,19,19
Hackney and City of London,2,2,2,3,4,4,5,11,13,20,22,29
Halton,0,0,0,0,0,0,0,0,0,0,3,4
Hammersmith and Fulham,1,2,2,2,3,3,5,10,19,21,23,25
Hampshire,2,8,8,10,13,15,20,41,53,55,69,77
Haringey,0,0,0,1,1,3,3,9,11,16,17,29
Harrow,1,1,1,1,1,1,2,10,12,14,15,40
Hartlepool,0,0,0,0,0,0,0,0,0,0,0,1
